,geo_precision,count,boundary,lon,lat
1647,1,42,IND.25.1_1,77.2167,28.6667
1705,1,1,IND.26.17_1,86.4167,20.5
1617,1,2,IND.28.1_1,74.8656,31.6331
1620,1,1,IND.28.1_1,74.9325,31.6664
1629,1,1,IND.28.10_1,75.4733,31.1258
1632,1,1,IND.28.10_1,75.5792,31.3256
1637,1,5,IND.28.12_1,75.85,30.9
1633,1,3,IND.28.16_1,75.65,32.2833
1636,1,1,IND.28.20_1,75.8333,30.2333
1606,1,1,IND.28.6_1,74.0333,30.4
1614,1,1,IND.28.7_1,74.6,30.9167
1615,1,1,IND.29.1_1,74.6333,26.45
1622,1,3,IND.29.1_1,75,26.0667
1635,1,2,IND.29.17_1,75.8167,26.9167
1588,1,1,IND.29.18_1,70.9,26.9167
1589,1,2,IND.29.18_1,71.0837,27.0489
1639,1,1,IND.29.20_1,76.15,24.6
1628,1,1,IND.29.21_1,75.4014,28.1307
1625,1,2,IND.29.30_1,75.15,27.6167
1631,1,1,IND.29.32_1,75.5431,25.8386
1682,1,2,IND.31.2_1,80.2833,13.0833
